category,service_name,description,unit,price,regulation_reference,source_page
Teh Jahe,Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Kadar ekstrak larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Kadar abu tak larut dalam asam,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Kealkalian abu larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Kadar serat kasar,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Lolos ayakan : 7 mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Zat warna tambahan (kualitatif),,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Gula,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,8
Teh Jahe,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,8
Teh Jahe,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,8
Teh Jahe,Bakteri bentuk koli,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,","Keadaan air seduhan : bau, rasa",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Kadar polifenol,,per sampel,200000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Kadar ekstrak dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Kadar abu total,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",total,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Kadar abu tak larut dalam asam,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",KOH),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Serat kasar,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Timah (Sn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,8
"Teh Kering Dalam Kemasan,",Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,8
12 Cemaran Mikroba,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,8
12 Cemaran Mikroba,Bakteri coliform,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,8
12 Cemaran Mikroba,Kapang,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,"Keadaan : warna, bau, rasa",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Kadar ekstrak larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Kadar abu tak larut dalam asam,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Kealkalian abu larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Kadar serat kasar,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Lolos ayakan : 7 mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Zat warna tambahan,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Gula,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,8
Teh Ginseng,Bakteri bentuk koli,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,8
"Tea,","Keadaan : kantong, tali pengikat,",,per sampel,50000,Pergub Jateng No. 35 Tahun 2024,8
"Tea,",Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Kadar ekstrak larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Kadar abu tak larut dalam asam,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Kealkalian abu larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Lolos ayakan : 7 mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Zat warna tambahan,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,9
"Tea,",Kapang,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,"Pemerian : bau, rasa",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,Abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,Kadar polifenol,,per sampel,200000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,Kadmium (Cd),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,Merkuri (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,9
Teh Instan,Cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,9
7 Cemaran Mikroba,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,9
7 Cemaran Mikroba,Bakteri coliform,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
7 Cemaran Mikroba,Kapang,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,9
"Minuman Teh Dalam Kemasan,","Keadaan : bau, rasa",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,9
"Minuman Teh Dalam Kemasan,",Kadar polifenol,,per sampel,200000,Pergub Jateng No. 35 Tahun 2024,9
"Minuman Teh Dalam Kemasan,",Kadmium (Cd),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
"Minuman Teh Dalam Kemasan,",Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
"Minuman Teh Dalam Kemasan,",Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
"Minuman Teh Dalam Kemasan,",Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,9
"Minuman Teh Dalam Kemasan,",Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,9
5 Cemaran Mikroba,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,9
5 Cemaran Mikroba,Bakteri coliform,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,9
5 Cemaran Mikroba,Escherichia coli,,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,9
5 Cemaran Mikroba,Salmonella sp.,,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,9
Kopi Biji,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,9
Kopi Biji,Jumlah nilai cacat,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,9
Kopi Biji,"Kadar kotoran berupa : ranting, batu,",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,9
Kopi Biji,Serangga hidup,,per sampel,20000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Biji,Biji berbau busuk dan berbau kapang,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Biji,Lolos ayakan,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,"Keadaan : bau, rasa",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Kealkalian abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,HPLC,,per sampel,400000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Spektrofotometer,,per sampel,200000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,pereduksi,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Padatan tak larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Jumlah bakteri,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Sangrai,Kapang,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,"Keadaan : kantong, tali pengikat,",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,Sari kopi,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,Kealkalian abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,HPLC,,per sampel,400000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,Spektrofotometer,,per sampel,200000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,Bahanbahan lain,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,* Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,* Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,* Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,* Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,* Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,* Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,* Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Celup,* Kapang,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,"Keadaan : Warna, bau, rasa",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,Sari kopi,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,Kealkalian abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,HPLC,,per sampel,400000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,Spektrofotometer,,per sampel,200000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,Bahanbahan lain,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,10
Kopi Bubuk,Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Bubuk,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Bubuk,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Bubuk,Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Bubuk,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Bubuk,Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Bubuk,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Bubuk,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Bubuk,Kapang,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Instan,"Keadaan : Warna, bau, rasa",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Instan,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,11
Kopi Instan,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,11
4 Kafein,HPLC,,per sampel,400000,Pergub Jateng No. 35 Tahun 2024,11
4 Kafein,Spektrofotometer,,per sampel,200000,Pergub Jateng No. 35 Tahun 2024,11
5 Otentisitas Kopi,Total glukosa,,per sampel,400000,Pergub Jateng No. 35 Tahun 2024,11
